"","id","gender","lifeSpan.ended","locationInfo"
"1","56d98a0ccc2ddd0c0f6bdd9b","Male","TRUE","United States, Pennsylvania, Shenandoah"
"2","56d98bdecc2ddd0c0f6be067","Male","FALSE","England, Bristol, Knowle West"
"3","56d98bdfcc2ddd0c0f6be068",NA,"TRUE","United States, Tennessee, Nashville"
"4","56d98be0cc2ddd0c0f6be069",NA,"FALSE","United States, California, San Francisco"
"5","56d98be0cc2ddd0c0f6be06a",NA,"FALSE","Canada, Quebec, Trois-Rivières"
"6","56d98be0cc2ddd0c0f6be06b",NA,"FALSE",NA
"7","56d98be0cc2ddd0c0f6be06c",NA,"FALSE",NA
"8","56d98be0cc2ddd0c0f6be06d",NA,"FALSE",NA
"9","56d98be1cc2ddd0c0f6be06e",NA,"FALSE",NA
"10","56d98be1cc2ddd0c0f6be06f",NA,"FALSE","England, Bristol, Bristol"
"11","56d98be1cc2ddd0c0f6be070",NA,"FALSE",NA
"12","56d98be2cc2ddd0c0f6be071","Female","FALSE","Estonia"
"13","56d98be3cc2ddd0c0f6be072","Female","FALSE","The Netherlands"
"14","56d98be4cc2ddd0c0f6be073",NA,"FALSE",NA
"15","56d98be4cc2ddd0c0f6be074",NA,"FALSE","United States, Arizona, Phoenix"
"16","56d98a0ccc2ddd0c0f6bdd9c","Male","FALSE","United States, California, San Jose"
"17","56d98a0ecc2ddd0c0f6bdd9d","Male","FALSE","United States, California, Redlands"
"18","56d98a0ecc2ddd0c0f6bdd9e","Male","TRUE",NA
"19","56d98a0ecc2ddd0c0f6bdd9f","Male","TRUE",NA
"20","56d98a0fcc2ddd0c0f6bdda0",NA,"FALSE","Australia"
"21","56d98a0fcc2ddd0c0f6bdda1","Male","FALSE","Germany, North Rhine-Westphalia, Cologne"
"22","56d98a0fcc2ddd0c0f6bdda2","Male","TRUE",NA
"23","56d98a10cc2ddd0c0f6bdda3",NA,"FALSE",NA
"24","56d98a10cc2ddd0c0f6bdda4","Male","FALSE",NA
"25","56d98a10cc2ddd0c0f6bdda5",NA,"FALSE",NA
"26","56d98a11cc2ddd0c0f6bdda6",NA,"FALSE","Japan"
"27","56d98a11cc2ddd0c0f6bdda7",NA,"FALSE",NA
"28","56d98a12cc2ddd0c0f6bdda8",NA,"FALSE","Sweden"
"29","56d98a12cc2ddd0c0f6bdda9","Male","FALSE","Canada, Ontario, London"
"30","56d98a14cc2ddd0c0f6bddaa","Male","FALSE","United States, Pennsylvania, Pittsburgh"
"31","56d98a14cc2ddd0c0f6bddab",NA,"FALSE","Japan"
"32","56d98a15cc2ddd0c0f6bddac",NA,"FALSE",NA
"33","56d98a19cc2ddd0c0f6bddad",NA,"TRUE","United States, Michigan, Niles"
"34","56d98be5cc2ddd0c0f6be075",NA,"FALSE","Belgium, Antwerp"
"35","56d98be5cc2ddd0c0f6be076",NA,"FALSE",NA
"36","56d98be5cc2ddd0c0f6be077","Male","FALSE","United States, New York, Staten Island"
"37","56d98be5cc2ddd0c0f6be078",NA,"FALSE",NA
"38","56d98be6cc2ddd0c0f6be079",NA,"FALSE","Germany, Berlin, Berlin"
"39","56d98be6cc2ddd0c0f6be07a",NA,"FALSE",NA
"40","56d98be6cc2ddd0c0f6be07b",NA,"FALSE",NA
"41","56d98be7cc2ddd0c0f6be07c",NA,"FALSE",NA
"42","56d98be7cc2ddd0c0f6be07d",NA,"FALSE",NA
"43","56d98be7cc2ddd0c0f6be07e",NA,"FALSE","United States, Georgia, Atlanta"
"44","56d98be8cc2ddd0c0f6be07f",NA,"FALSE","Finland, Uusimaa, Helsinki"
"45","56d98bebcc2ddd0c0f6be080",NA,"FALSE",NA
"46","56d98beccc2ddd0c0f6be081","Female","FALSE",NA
"47","56d98beccc2ddd0c0f6be082","Female","FALSE","United States, Florida, Miami"
"48","56d98a19cc2ddd0c0f6bddae","Male","FALSE","United States, California, West Hollywood"
"49","56d98a1acc2ddd0c0f6bddaf","Male","FALSE","United States, Ohio, Dayton"
"50","56d98a1bcc2ddd0c0f6bddb0","Male","TRUE","United States, Mississippi, Terry"
"51","56d98a1bcc2ddd0c0f6bddb1","Male","FALSE","Sweden"
"52","56d98a1bcc2ddd0c0f6bddb2","Male","FALSE",NA
"53","56d98a1bcc2ddd0c0f6bddb3","Male","TRUE","Ireland, County Armagh, Keady"
"54","56d98a1ccc2ddd0c0f6bddb4","Male","FALSE","United States, California, West Covina"
"55","56d98a1ccc2ddd0c0f6bddb5","Male","TRUE",NA
"56","56d98a1ccc2ddd0c0f6bddb6",NA,"FALSE",NA
"57","56d98a1dcc2ddd0c0f6bddb7","Male","FALSE",NA
"58","56d98a1dcc2ddd0c0f6bddb8","Male","TRUE","United States, Mississippi, Durant"
"59","56d98a1dcc2ddd0c0f6bddb9",NA,"FALSE",NA
"60","56d98a1ecc2ddd0c0f6bddba",NA,"FALSE","Ireland"
"61","56d98a1ecc2ddd0c0f6bddbb",NA,"FALSE",NA
"62","56d98a1ecc2ddd0c0f6bddbc","Male","TRUE",NA
"63","56d98a1fcc2ddd0c0f6bddbd","Male","FALSE","Sweden"
"64","56d98a1fcc2ddd0c0f6bddbe","Male","TRUE","United States, Louisiana, New Orleans"
"65","56d98a1fcc2ddd0c0f6bddbf",NA,"FALSE",NA
"66","56d98a1fcc2ddd0c0f6bddc0","Male","TRUE","United States, Georgia, Toccoa"
"67","56d98a20cc2ddd0c0f6bddc1","Male","FALSE","United States, Illinois, Chicago"
"68","56d98a21cc2ddd0c0f6bddc2",NA,"FALSE","Scotland, Glasgow"
"69","56d98a21cc2ddd0c0f6bddc3","Male","TRUE","United States, New Jersey, Glen Ridge"
"70","56d98a22cc2ddd0c0f6bddc4",NA,"FALSE",NA
"71","56d98a22cc2ddd0c0f6bddc5","Male","FALSE",NA
"72","56d98a23cc2ddd0c0f6bddc6",NA,"FALSE","England, London"
"73","56d98a23cc2ddd0c0f6bddc7","Male","FALSE","United States, Alabama, Montgomery"
"74","56d98a23cc2ddd0c0f6bddc8","Male","FALSE","United States, Georgia, Atlanta"
"75","56d98a24cc2ddd0c0f6bddc9","Male","FALSE","United States, California, Los Angeles"
"76","56d98a24cc2ddd0c0f6bddca","Male","FALSE",NA
"77","56d98a24cc2ddd0c0f6bddcb","Male","FALSE","Puerto Rico, San Juan, Santurce"
"78","56d98a24cc2ddd0c0f6bddcc","Male","TRUE","United States, Ohio, Springfield"
"79","56d98a24cc2ddd0c0f6bddcd","Male","FALSE","Australia, Queensland, Bundaberg"
"80","56d98a26cc2ddd0c0f6bddce","Male","FALSE",NA
"81","56d98a26cc2ddd0c0f6bddcf",NA,"FALSE","United States, California, San Francisco"
"82","56d98a26cc2ddd0c0f6bddd0",NA,"FALSE","France, Rhône-Alpes, Cranves-Sales"
"83","56d98a27cc2ddd0c0f6bddd1","Male","FALSE","Italy, Veneto, Venice"
"84","56d98a27cc2ddd0c0f6bddd2","Male","FALSE","United States, Tennessee, Memphis"
"85","56d98a27cc2ddd0c0f6bddd3","Male","FALSE","United States, California, Los Angeles"
"86","56d98a27cc2ddd0c0f6bddd4",NA,"FALSE","United States, California, Los Angeles"
"87","56d98a28cc2ddd0c0f6bddd5",NA,"FALSE",NA
"88","56d98bedcc2ddd0c0f6be083",NA,"FALSE","United States, Louisiana, New Orleans"
"89","56d98bedcc2ddd0c0f6be084","Female","FALSE",NA
"90","56d98beecc2ddd0c0f6be085",NA,"FALSE","United States, Louisiana, Natchitoches"
"91","56d98beecc2ddd0c0f6be086",NA,"FALSE","England"
"92","56d98befcc2ddd0c0f6be087","Male","FALSE","Trinidad and Tobago"
"93","56d98befcc2ddd0c0f6be088","Male","FALSE","United States, Texas, Dallas"
"94","56d98befcc2ddd0c0f6be089",NA,"FALSE",NA
"95","56d98befcc2ddd0c0f6be08a","Female","FALSE","United States, Florida, Miami"
"96","56d98bf0cc2ddd0c0f6be08b",NA,"FALSE","Belgium"
"97","56d98bf0cc2ddd0c0f6be08c",NA,"FALSE",NA
"98","56d98c13cc2ddd0c0f6be08d",NA,"FALSE",NA
"99","56d98c13cc2ddd0c0f6be08e",NA,"FALSE",NA
"100","56d98c15cc2ddd0c0f6be08f",NA,"FALSE",NA
"101","56d98c15cc2ddd0c0f6be090",NA,"TRUE",NA
"102","56d98c15cc2ddd0c0f6be091",NA,"TRUE","Germany, Lower Saxony, Großenkneten"
"103","56d98c15cc2ddd0c0f6be092",NA,"FALSE",NA
"104","56d98c15cc2ddd0c0f6be093",NA,"FALSE",NA
"105","56d98c16cc2ddd0c0f6be094",NA,"FALSE",NA
"106","56d98c16cc2ddd0c0f6be095",NA,"FALSE",NA
"107","56d98c16cc2ddd0c0f6be096",NA,"FALSE",NA
"108","56d98c17cc2ddd0c0f6be097",NA,"FALSE","Brazil, São Paulo, São Paulo"
"109","56d98c17cc2ddd0c0f6be098",NA,"TRUE","Germany"
"110","56d98c17cc2ddd0c0f6be099",NA,"FALSE","Brazil, Bahia, Salvador"
"111","56d98a28cc2ddd0c0f6bddd6",NA,"FALSE",NA
"112","56d98a29cc2ddd0c0f6bddd7",NA,"FALSE","Japan"
"113","56d98a29cc2ddd0c0f6bddd8",NA,"FALSE","England, London"
"114","56d98a29cc2ddd0c0f6bddd9","Male","FALSE","Japan, Chiba, Funabashi"
"115","56d98a29cc2ddd0c0f6bddda",NA,"FALSE",NA
"116","56d98a2acc2ddd0c0f6bdddb",NA,"FALSE",NA
"117","56d98a2bcc2ddd0c0f6bdddc",NA,"FALSE",NA
"118","56d98a2bcc2ddd0c0f6bdddd",NA,"FALSE",NA
"119","56d98a2bcc2ddd0c0f6bddde",NA,"FALSE",NA
"120","56d98a2bcc2ddd0c0f6bdddf","Male","TRUE",NA
"121","56d98a2bcc2ddd0c0f6bdde0",NA,"FALSE",NA
"122","56d98a2ccc2ddd0c0f6bdde1",NA,"FALSE","United States, California, Los Angeles"
"123","56d98a2ccc2ddd0c0f6bdde2","Male","TRUE",NA
"124","56d98a2ccc2ddd0c0f6bdde3",NA,"FALSE","United States, Nebraska, Spalding"
"125","56d98a2ccc2ddd0c0f6bdde4",NA,"FALSE",NA
"126","56d98a2ecc2ddd0c0f6bdde5",NA,"FALSE","Norway, Sør-Trøndelag, Trondheim"
"127","56d98a2ecc2ddd0c0f6bdde6","Male","TRUE","United States, Nebraska, Spalding"
"128","56d98a2ecc2ddd0c0f6bdde7",NA,"FALSE","Germany, Hamburg, Hamburg"
"129","56d98a2ecc2ddd0c0f6bdde8",NA,"FALSE","The Netherlands, North Holland, Amsterdam"
"130","56d98a31cc2ddd0c0f6bdde9",NA,"FALSE","Germany, Hamburg, Hamburg"
"131","56d98a31cc2ddd0c0f6bddea",NA,"FALSE","Germany, Baden-Württemberg, Walldürn"
"132","56d98a31cc2ddd0c0f6bddeb",NA,"FALSE","United States"
"133","56d98a31cc2ddd0c0f6bddec","Male","FALSE","Czech Republic"
"134","56d98c17cc2ddd0c0f6be09a",NA,"FALSE",NA
"135","56d98c18cc2ddd0c0f6be09b",NA,"FALSE",NA
"136","56d98c18cc2ddd0c0f6be09c",NA,"FALSE",NA
"137","56d98c18cc2ddd0c0f6be09d",NA,"FALSE","Norway"
"138","56d98c19cc2ddd0c0f6be09e",NA,"FALSE","Brazil, São Paulo, São Paulo"
"139","56d98c1acc2ddd0c0f6be09f",NA,"FALSE","Germany, Hesse, Rodgau"
"140","56d98c1acc2ddd0c0f6be0a0",NA,"FALSE",NA
"141","56d98c1acc2ddd0c0f6be0a1",NA,"FALSE",NA
"142","56d98c1acc2ddd0c0f6be0a2",NA,"FALSE","England, Bristol"
"143","56d98c1bcc2ddd0c0f6be0a3",NA,"FALSE",NA
"144","56d98c1bcc2ddd0c0f6be0a4",NA,"FALSE",NA
"145","56d98c1bcc2ddd0c0f6be0a5",NA,"FALSE","Japan"
